,HD,JD,RVel,e_RVel,Sind,e_Sind,Hind,e_Hind,EWHa,e_EWHa,RHKp,e_RHKp,BIS,FWHM,Tel,Bibcode
0,128167,2453774.8974278,-23.079482,1.68528,-1,-1,0.412645,0.000361,-1,-1,1.65928817973445e-05,1.65928817973445e-05,138.36399999999998,12398.899,HARPS-pre,2020yCat..36360074T
1,128167,2453774.8986834,-21.308711,1.721821,-1,-1,0.413096,0.000377,-1,-1,1.78271852181588e-05,1.78271852181588e-05,139.3,12405.848,HARPS-pre,2020yCat..36360074T
2,128167,2453775.9009337,-20.534246,2.083635,-1,-1,0.414953,0.000489,-1,-1,1.62396220637721e-05,1.62396220637721e-05,106.114,12316.766,HARPS-pre,2020yCat..36360074T
3,128167,2453775.9024572,-21.152236,1.938985,-1,-1,0.414149,0.000445,-1,-1,1.73779043816196e-05,1.73779043816196e-05,113.44999999999999,12343.607,HARPS-pre,2020yCat..36360074T
4,128167,2453776.8972331,-20.088507,2.614998,-1,-1,0.417991,0.000626,-1,-1,1.68812918722034e-05,1.68812918722034e-05,9.509,12360.303,HARPS-pre,2020yCat..36360074T
5,128167,2453776.8987784,-19.65123,2.481373,-1,-1,0.418299,0.000583,-1,-1,1.6382393415349e-05,1.6382393415349e-05,20.505,12358.891,HARPS-pre,2020yCat..36360074T
6,128167,2453777.8961566,-24.000531,1.989289,-1,-1,0.417231,0.000469,-1,-1,1.57627668191726e-05,1.57627668191726e-05,197.78799999999998,12303.858999999999,HARPS-pre,2020yCat..36360074T
7,128167,2453777.8973996,-27.731831,1.971506,-1,-1,0.41753,0.000467,-1,-1,1.72133318237845e-05,1.72133318237845e-05,182.805,12304.77,HARPS-pre,2020yCat..36360074T
8,128167,2453779.8956041,-38.754075,1.629268,-1,-1,0.414709,0.000362,-1,-1,1.67397147815509e-05,1.67397147815509e-05,157.841,12375.515,HARPS-pre,2020yCat..36360074T
9,128167,2453779.8970923,-42.301183,1.657432,-1,-1,0.415936,0.000373,-1,-1,1.74974109639784e-05,1.74974109639784e-05,145.636,12375.629,HARPS-pre,2020yCat..36360074T
10,128167,2453780.8943609,23.429561,1.824798,-1,-1,0.419764,0.000393,-1,-1,1.596110594724e-05,1.596110594724e-05,-27.782,12502.503,HARPS-pre,2020yCat..36360074T
11,128167,2453780.8958553,24.613715,1.787433,-1,-1,0.41943,0.000379,-1,-1,1.68130054104061e-05,1.68130054104061e-05,-17.443,12498.939,HARPS-pre,2020yCat..36360074T
12,128167,2454542.8484699,50.305744,1.437374,-1,-1,0.410376,0.000279,-1,-1,1.57084801491492e-05,1.57084801491492e-05,127.75500000000001,12035.825,HARPS-pre,2020yCat..36360074T
13,128167,2454542.849943,51.678414,1.375055,-1,-1,0.410238,0.000272,-1,-1,1.36328180416437e-05,1.36328180416437e-05,127.856,12039.153,HARPS-pre,2020yCat..36360074T
14,128167,2454546.8323258,10.451509,1.62137,-1,-1,0.408347,0.00033,-1,-1,1.48022534324695e-05,1.48022534324695e-05,235.797,11780.719,HARPS-pre,2020yCat..36360074T
15,128167,2454546.8335391,10.997967,1.546268,-1,-1,0.410391,0.00031,-1,-1,1.88709151134932e-05,1.88709151134932e-05,240.718,11764.84,HARPS-pre,2020yCat..36360074T
